ID,Ашиглалтанд орсон он,Барилгын давхар,Барилгын явц,Гараж,Байршил,Огноо,Тагт,Талбай,Төлбөрийн нөхцөл,Хаалга,Хэдэн давхарт,Цонх,Цонхны тоо,Шал,Үнэ
1,2020,10,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,62,Лизинггүй,Төмөр,5,Вакум,2,Паркет,"11,048,387"
1,2022,25,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,1 тагттай,62,Банкны лизингтэй,Бүргэд,5,Вакум,3,Паркет,"11,048,387"
1,2022,25,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,62,Лизинггүй,Бүргэд,5,Вакум,2,Паркет,"11,048,387"
1,2023,24,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,62,Лизинггүй,Бүргэд,5,Вакум,3,Паркет,"11,048,387"
1,2016,10,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,134,Лизинггүй,Төмөр,8,Вакум,6,Паркет,"10,970,149"
1,2022,20,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,Тагтгүй,115,Лизинггүй,Төмөр,15,Вакум,4,Паркет,"10,869,565"
1,2020,20,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,Тагтгүй,115,Лизинггүй,Төмөр вакум,14,Төмөр вакум,4,Паркет,"10,869,565"
1,2022,20,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,Тагтгүй,115,Банкны лизингтэй,Төмөр,14,Төмөр вакум,6,Паркет,"10,869,565"
1,2019,12,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,Тагтгүй,108,Лизинггүй,Бүргэд,5,Вакум,4,Паркет,"10,851,852"
1,2018,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,166,Лизинггүй,Төмөр,6,Вакум,5,Паркет,"10,843,373"
1,2021,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,166,Лизинггүй,Бүргэд,6,Вакум,3,Паркет,"10,843,373"
1,2020,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,166,Лизинггүй,Бүргэд,8,Вакум,6,Паркет,"10,843,373"
1,1989,4,Ашиглалтад орсон,Байхгүй,ЧД,1/1/2024,1 тагттай,28,Лизинггүй,Бүргэд,2,Вакум,3,Паркет,"10,714,286"
1,1980,4,Ашиглалтад орсон,Байхгүй,ЧД,1/1/2024,1 тагттай,28,Лизинггүй,Бүргэд,2,Вакум,3,Паркет,"10,714,286"
1,1990,4,Ашиглалтад орсон,Байхгүй,ЧД,1/1/2024,1 тагттай,28,Лизинггүй,Бүргэд,2,Вакум,3,Паркет,"10,714,286"
1,2022,25,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,1 тагттай,64,Лизинггүй,Бүргэд,11,Вакум,3,Паркет,"10,614,844"
1,2019,10,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,142,Лизинггүй,Бүргэд,1,Вакум,5,Паркет,"10,563,380"
1,2012,20,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,142,Банкны лизингтэй,Бүргэд,1,Вакум,4,Паркет,"10,563,380"
1,2024,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,165,Лизинггүй,Төмөр,4,Вакум,4,Паркет,"10,547,091"
1,2024,23,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,165,Лизинггүй,Төмөр,4,Вакум,4,Паркет,"10,547,091"
1,2023,16,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,165,Лизинггүй,Бүргэд,4,Вакум,6,Паркет,"10,546,909"
1,2024,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,165,Банкны лизингтэй,Бүргэд,4,Вакум,6,Паркет,"10,545,455"
1,1986,4,Ашиглалтад орсон,Байхгүй,ЧД,1/1/2024,1 тагттай,19,Лизинггүй,Бүргэд,4,Вакум,3,Паркет,"10,526,316"
1,2024,20,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,106,Банкны лизингтэй,Төмөр,3,Вакум,4,Паркет,"10,500,000"
1,2021,22,Ашиглалтад ороогүй,Байхгүй,ХУД,1/1/2024,1 тагттай,130,Лизинггүй,Төмөр,11,Вакум,5,Паркет,"10,500,000"
1,2024,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,166,Бартертай,Бүргэд,4,Вакум,6,Мод,"10,496,386"
1,2024,22,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,2 тагттай,106,Лизинггүй,Төмөр,13,Вакум,3,Паркет,"10,395,226"
1,2021,24,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,2 тагттай,106,Лизинггүй,Бүргэд,3,Вакум,3,Паркет,"10,395,226"
1,2024,23,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,106,Банкны лизингтэй,Бүргэд,3,Вакум,4,Паркет,"10,395,226"
1,2024,3,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,106,Лизинггүй,Бүргэд,25,Вакум,3,Паркет,"10,395,226"
1,2024,16,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,2 тагттай,106,Лизинггүй,Төмөр вакум,3,Вакум,3,Паркет,"10,395,226"
1,2024,20,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,106,Лизинггүй,Төмөр,3,Вакум,3,Паркет,"10,395,226"
1,2023,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,106,Банкны лизингтэй,Бүргэд,3,Вакум,4,Паркет,"10,395,226"
1,2024,18,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,2 тагттай,106,Лизинггүй,Төмөр,3,Вакум,3,Паркет,"10,389,396"
1,2018,16,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,140,Лизинггүй,Бүргэд,6,Вакум,4,Паркет,"10,357,143"
1,2021,16,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,140,Банкны лизингтэй,Бүргэд,6,Вакум,4,Паркет,"10,357,143"
1,2020,6,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,140,Лизинггүй,Бүргэд,16,Вакум,3,Паркет,"10,357,143"
1,2020,16,Ашиглалтад орсон,Байхгүй,БЗД,1/1/2024,1 тагттай,140,Лизинггүй,Төмөр,6,Вакум,4,Паркет,"10,357,143"
1,2019,18,Ашиглалтад орсон,Байгаа,БЗД,1/1/2024,1 тагттай,140,Лизинггүй,Бүргэд,6,Вакум,6,Паркет,"10,357,143"
1,2015,15,Ашиглалтад орсон,Байгаа,БЗД,1/1/2024,1 тагттай,140,Лизинггүй,Бүргэд,10,Вакум,4,Паркет,"10,357,143"
1,2020,16,Ашиглалтад орсон,Байгаа,БЗД,1/1/2024,Тагтгүй,140,Банкны лизингтэй,Төмөр,6,Вакум,4,Паркет,"10,357,143"
1,2021,18,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,Тагтгүй,140,Лизинггүй,Төмөр вакум,6,Төмөр вакум,3,Паркет,"10,357,143"
1,2023,12,Ашиглалтад орсон,Байхгүй,БЗД,1/1/2024,Тагтгүй,140,Банкны лизингтэй,Төмөр вакум,6,Вакум,4,Ламинат,"10,357,143"
1,2023,16,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,2 тагттай,107,Лизинггүй,Төмөр,3,Вакум,3,Паркет,"10,298,075"
1,2024,16,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,107,Лизинггүй,Төмөр вакум,3,Модон вакум,4,Паркет,"10,298,075"
1,2017,15,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,3+ тагттай,161,Лизинггүй,Төмөр вакум,14,Модон вакум,7,Мод,"10,248,447"
1,2023,23,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,106,Банкны лизингтэй,Бүргэд,10,Вакум,4,Паркет,"10,220,208"
1,2024,23,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,106,Банкны лизингтэй,Бүргэд,10,Вакум,4,Паркет,"10,216,981"
1,2024,25,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,106,Лизинггүй,Бүргэд,10,Вакум,4,Паркет,"10,207,547"
1,2024,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,232,Банкны лизингтэй,Бүргэд,14,Вакум,6,Паркет,"10,043,103"
1,2021,16,Ашиглалтад орсон,Байгаа,БЗД,1/1/2024,Тагтгүй,140,Банкны лизингтэй,Бүргэд,5,Вакум,3,Паркет,"10,035,714"
1,2020,16,Ашиглалтад орсон,Байхгүй,СБД,1/1/2024,Тагтгүй,140,Лизинггүй,Бүргэд,6,Вакум,3,Паркет,"10,035,714"
1,2020,18,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,232,Банкны лизингтэй,Төмөр,14,Вакум,4,Паркет,"10,029,741"
